name,price,mrp,description,category_name,stock,material,size,featured,is_new_arrival,image_name
Ganesha Face Copper Wall Hanging,1299,1800,"Ganesha Face Copper Wall Hanging made with Copper, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Copper,Standard,false,true,Ganesha Face Copper Wall Hanging.png
Ganesha Face Leather Keychain Green,199,300,"Ganesha Face Leather Keychain Green made with Leather, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Leather,Standard,false,true,Ganesha Face Leather Keychain Green Front.png
Ganesha Face Leather Keychain Red,199,300,"Ganesha Face Leather Keychain Red made with Leather, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Leather,Standard,false,false,Ganesha Face Leather Keychain Red Front.png
Ganesha Folk Art Frame Orange,1499,2050,"Ganesha Folk Art Frame Orange made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Ganesha Folk Art Frame Orange.png
Ganesha Idol Black Silver,999,1350,"Ganesha Idol Black Silver made with Silver Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Silver Finish,Standard,false,false,Ganesha Idol Black Silver.png
Ganesha Idol Gold,999,1350,"Ganesha Idol Gold made with Gold Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Gold Finish,Standard,false,false,Ganesha Idol Gold.png
Ganesha Tanjore Art Frame Yellow,1499,2050,"Ganesha Tanjore Art Frame Yellow made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Ganesha Tanjore Art Frame Yellow.png
Green Elephant Garland Set of,349,500,"Green Elephant Garland Set of made with Handcrafted Material, suitable for hanging decor, home decor, festive gifting, and spiritual collections.",Hanging Decor,15,Handcrafted Material,Standard,false,false,Green Elephant Garland Set of 2.png
Green Gecko Garland Set of,349,500,"Green Gecko Garland Set of made with Handcrafted Material, suitable for hanging decor, home decor, festive gifting, and spiritual collections.",Hanging Decor,15,Handcrafted Material,Standard,false,false,Green Gecko Garland Set of 2.png
Green Parrot Garland Set of,349,500,"Green Parrot Garland Set of made with Handcrafted Material, suitable for hanging decor, home decor, festive gifting, and spiritual collections.",Hanging Decor,15,Handcrafted Material,Standard,false,false,Green Parrot Garland Set of 2.png
Guruvayur Elephant Keychain,199,300,"Guruvayur Elephant Keychain made with Handcrafted Material, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Handcrafted Material,Standard,false,false,Guruvayur Elephant Keychain.png
Guruvayur Elephant Procession Wooden Showpiece,999,1350,"Guruvayur Elephant Procession Wooden Showpiece made with Wood, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Wood,Standard,false,false,Guruvayur Elephant Procession Wooden Showpiece.png
Guruvayur Elephant Wooden Wall Plaque,1299,1800,"Guruvayur Elephant Wooden Wall Plaque made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Guruvayur Elephant Wooden Wall Plaque.png
Hematite Bracelet,399,550,"Hematite Bracelet made with Hematite, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Hematite,Standard,false,false,Hematite Bracelet.png
Hematite Bracelet with Packaging Card,399,550,"Hematite Bracelet with Packaging Card made with Hematite, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Hematite,Standard,false,false,Hematite Bracelet with Packaging Card.png
Kamdhenu Cow with Calf Copper Statue,1299,1800,"Kamdhenu Cow with Calf Copper Statue made with Copper, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Copper,Standard,false,false,Kamdhenu Cow with Calf Copper Statue.png
Kathakali Dancer Keychain,199,300,"Kathakali Dancer Keychain made with Handcrafted Material, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Handcrafted Material,Standard,false,false,Kathakali Dancer Keychain 1.png
Kathakali Face Brooch Magnet Dark Maroon,149,250,"Kathakali Face Brooch Magnet Dark Maroon made with Resin/Magnet, suitable for magnets, home decor, festive gifting, and spiritual collections.",Magnets,30,Resin/Magnet,Standard,false,false,Kathakali Face Brooch Magnet Dark Maroon.png
Kathakali Face Wall Hanging,899,1250,"Kathakali Face Wall Hanging made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,false,Kathakali Face Wall Hanging.png
Kathakali Face with Ivory Tusks Wooden Showpiece,999,1350,"Kathakali Face with Ivory Tusks Wooden Showpiece made with Wood, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Wood,Standard,false,false,Kathakali Face with Ivory Tusks Wooden Showpiece.png
Kerala Elephant Festival Wooden Money Box,599,850,"Kerala Elephant Festival Wooden Money Box made with Wood, suitable for money boxes, home decor, festive gifting, and spiritual collections.",Money Boxes,12,Wood,Standard,false,false,Kerala Elephant Festival Wooden Money Box.png
Kerala Gods Own Country Money Box,599,850,"Kerala Gods Own Country Money Box made with Wood, suitable for money boxes, home decor, festive gifting, and spiritual collections.",Money Boxes,12,Wood,Standard,false,false,Kerala Gods Own Country Money Box.png
Kerala Snake Boat Vallam Wooden Showpiece,999,1350,"Kerala Snake Boat Vallam Wooden Showpiece made with Wood, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Wood,Standard,false,false,Kerala Snake Boat Vallam Wooden Showpiece.png
Kerala Temple Elephant Procession Wooden Decor,699,950,"Kerala Temple Elephant Procession Wooden Decor made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Kerala Temple Elephant Procession Wooden Decor.png
Kerala Theyyam Festival Money Box,599,850,"Kerala Theyyam Festival Money Box made with Wood, suitable for money boxes, home decor, festive gifting, and spiritual collections.",Money Boxes,12,Wood,Standard,false,false,Kerala Theyyam Festival Money Box.png
Krishna Face with Flute Brass Idol,1599,2200,"Krishna Face with Flute Brass Idol made with Brass, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Brass,Standard,false,false,Krishna Face with Flute Brass Idol.png
Large Ganesha on Lotus Black Statue,1899,2600,"Large Ganesha on Lotus Black Statue made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,false,false,Large Ganesha on Lotus Black Statue.png
Laughing Buddha Gold Statue,999,1350,"Laughing Buddha Gold Statue made with Gold Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Gold Finish,Standard,false,false,Laughing Buddha Gold Statue.png
Lord Ganesha Seated Copper Statue,1299,1800,"Lord Ganesha Seated Copper Statue made with Copper, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Copper,Standard,false,false,Lord Ganesha Seated Copper Statue.png
Lord Krishna Colorful Idol,999,1350,"Lord Krishna Colorful Idol made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,false,false,Lord Krishna Colorful Idol.png
Lord Krishna with Flute Copper Statue,1299,1800,"Lord Krishna with Flute Copper Statue made with Copper, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Copper,Standard,false,false,Lord Krishna with Flute Copper Statue.png
Mohiniyattam Dancer Keychain,199,300,"Mohiniyattam Dancer Keychain made with Handcrafted Material, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Handcrafted Material,Standard,false,false,Mohiniyattam Dancer Keychain.png
Multi Gemstone Bracelet Tiger Eye Citrine Aventurine,399,550,"Multi Gemstone Bracelet Tiger Eye Citrine Aventurine made with Gemstone Beads, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Gemstone Beads,Standard,false,false,Multi Gemstone Bracelet Tiger Eye Citrine Aventurine 1.png
Multi Gemstone Bracelet with Gold Beads,399,550,"Multi Gemstone Bracelet with Gold Beads made with Gemstone Beads, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Gemstone Beads,Standard,false,false,Multi Gemstone Bracelet with Gold Beads.png
Nataraja Dancing Shiva Copper Statue,1299,1800,"Nataraja Dancing Shiva Copper Statue made with Copper, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Copper,Standard,false,false,Nataraja Dancing Shiva Copper Statue.png
Nettipattam Devi Thrippadam Wall Hanging,899,1250,"Nettipattam Devi Thrippadam Wall Hanging made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,false,Nettipattam Devi Thrippadam Wall Hanging.png
One Lakh Savings Challenge Money Box,799,1100,"One Lakh Savings Challenge Money Box made with Wood, suitable for money boxes, home decor, festive gifting, and spiritual collections.",Money Boxes,12,Wood,Standard,false,false,One Lakh Savings Challenge Money Box.png
Peacock Napkin Holder Blue Green,499,700,"Peacock Napkin Holder Blue Green made with Handcrafted Material, suitable for table decor, home decor, festive gifting, and spiritual collections.",Table Decor,15,Handcrafted Material,Standard,false,false,Peacock Napkin Holder Blue Green.png
Peacock Napkin Holder Orange,499,700,"Peacock Napkin Holder Orange made with Handcrafted Material, suitable for table decor, home decor, festive gifting, and spiritual collections.",Table Decor,15,Handcrafted Material,Standard,false,false,Peacock Napkin Holder Orange.png
Peacock Napkin Holder Red Green,499,700,"Peacock Napkin Holder Red Green made with Handcrafted Material, suitable for table decor, home decor, festive gifting, and spiritual collections.",Table Decor,15,Handcrafted Material,Standard,false,false,Peacock Napkin Holder Red Green.png
Pink Paisley Garland Set of,349,500,"Pink Paisley Garland Set of made with Handcrafted Material, suitable for hanging decor, home decor, festive gifting, and spiritual collections.",Hanging Decor,15,Handcrafted Material,Standard,false,false,Pink Paisley Garland Set of 2.png
Pulikali Tiger Dance Money Box,599,850,"Pulikali Tiger Dance Money Box made with Wood, suitable for money boxes, home decor, festive gifting, and spiritual collections.",Money Boxes,12,Wood,Standard,false,false,Pulikali Tiger Dance Money Box.png
Radha Krishna Copper Statue,1299,1800,"Radha Krishna Copper Statue made with Copper, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Copper,Standard,false,false,Radha Krishna Copper Statue.png
Radha Krishna Gold Statue,999,1350,"Radha Krishna Gold Statue made with Gold Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Gold Finish,Standard,false,false,Radha Krishna Gold Statue.png
Radha Krishna on Swing Antique Silver Idol,999,1350,"Radha Krishna on Swing Antique Silver Idol made with Silver Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Silver Finish,Standard,false,false,Radha Krishna on Swing Antique Silver Idol.png
Radha Krishna Portrait Decorative Plaque,699,950,"Radha Krishna Portrait Decorative Plaque made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Radha Krishna Portrait Decorative Plaque.png
Red Bird Garland Set of,349,500,"Red Bird Garland Set of made with Handcrafted Material, suitable for hanging decor, home decor, festive gifting, and spiritual collections.",Hanging Decor,15,Handcrafted Material,Standard,false,false,Red Bird Garland Set of 2.png
Red Buddha Framed Wall Art,1499,2050,"Red Buddha Framed Wall Art made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Red Buddha Framed Wall Art.png
Rudraksha Mala 108 Beads,499,700,"Rudraksha Mala 108 Beads made with Rudraksha, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Rudraksha,Standard,false,false,Rudraksha Mala 108 Beads.png
Saint Thomas Christian Statue on Boat,999,1350,"Saint Thomas Christian Statue on Boat made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,false,false,Saint Thomas Christian Statue on Boat.png
Shankh Conch Leather Keychain Pink,199,300,"Shankh Conch Leather Keychain Pink made with Leather, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Leather,Standard,false,false,Shankh Conch Leather Keychain Pink Front.png
Shiva Parvati Ganesha Family Brass Statue,1599,2200,"Shiva Parvati Ganesha Family Brass Statue made with Brass, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Brass,Standard,false,false,Shiva Parvati Ganesha Family Brass Statue.png
Shiva Rudraksha Silver Bracelet,499,700,"Shiva Rudraksha Silver Bracelet made with Rudraksha, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Rudraksha,Standard,false,false,Shiva Rudraksha Silver Bracelet.png
Shiva Trishul Silver Bangle,499,700,"Shiva Trishul Silver Bangle made with Silver Finish, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Silver Finish,Standard,false,false,Shiva Trishul Silver Bangle.png
Temple Bell Keychain Gold Silver,199,300,"Temple Bell Keychain Gold Silver made with Silver Finish, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Silver Finish,Standard,false,false,Temple Bell Keychain Gold Silver 1.png
Theyyam Deity Face Car Hanging,299,450,"Theyyam Deity Face Car Hanging made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,false,Theyyam Deity Face Car Hanging.png
Theyyam Face Copper Wall Hanging,1299,1800,"Theyyam Face Copper Wall Hanging made with Copper, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Copper,Standard,false,false,Theyyam Face Copper Wall Hanging.png
Theyyam Face Decorative Statue,999,1350,"Theyyam Face Decorative Statue made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,false,Theyyam Face Decorative Statue.png
Theyyam Face Fridge Magnet,149,250,"Theyyam Face Fridge Magnet made with Resin/Magnet, suitable for magnets, home decor, festive gifting, and spiritual collections.",Magnets,30,Resin/Magnet,Standard,false,false,Theyyam Face Fridge Magnet.png
Theyyam Face Keychain Orange,199,300,"Theyyam Face Keychain Orange made with Handcrafted Material, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Handcrafted Material,Standard,false,false,Theyyam Face Keychain Orange.png
Theyyam Face Keychain Red,199,300,"Theyyam Face Keychain Red made with Handcrafted Material, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Handcrafted Material,Standard,false,false,Theyyam Face Keychain Red.png
Theyyam Keychain,199,300,"Theyyam Keychain made with Handcrafted Material, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Handcrafted Material,Standard,false,false,Theyyam Keychain.png
Theyyam Temple Wall Hanging Art,899,1250,"Theyyam Temple Wall Hanging Art made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,false,Theyyam Temple Wall Hanging Art.png
Theyyam Wooden Face Wall Decor,899,1250,"Theyyam Wooden Face Wall Decor made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Theyyam Wooden Face Wall Decor.png
Three Elephants Kerala Procession Wooden Wall Art,1299,1800,"Three Elephants Kerala Procession Wooden Wall Art made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Three Elephants Kerala Procession Wooden Wall Art.png
Tiger Eye Bracelet,399,550,"Tiger Eye Bracelet made with Gemstone Beads, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Gemstone Beads,Standard,false,false,Tiger Eye Bracelet.png
Tirupati Balaji Tanjore Art Frame,1499,2050,"Tirupati Balaji Tanjore Art Frame made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Tirupati Balaji Tanjore Art Frame.png
Tirupati Balaji Venkateswara Gold Idol,999,1350,"Tirupati Balaji Venkateswara Gold Idol made with Gold Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Gold Finish,Standard,false,false,Tirupati Balaji Venkateswara Gold Idol.png
Velakali Shield Hanging Decoration,699,950,"Velakali Shield Hanging Decoration made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Velakali Shield Hanging Decoration.png
Vishnu Tirupati Tanjore Art Frame Blue,1499,2050,"Vishnu Tirupati Tanjore Art Frame Blue made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Vishnu Tirupati Tanjore Art Frame Blue.png
Wooden Dharma Wheel Key Holder,699,950,"Wooden Dharma Wheel Key Holder made with Wood, suitable for key holders, home decor, festive gifting, and spiritual collections.",Key Holders,15,Wood,Standard,false,false,Wooden Dharma Wheel Key Holder 1.png
Wooden Fish Wall Hooks Set of Three,899,1250,"Wooden Fish Wall Hooks Set of Three made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Wooden Fish Wall Hooks Set of Three.png
Wooden Hanging Urli Pot with Chain,799,1100,"Wooden Hanging Urli Pot with Chain made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Wooden Hanging Urli Pot with Chain.png
Wooden Peacock Decorative Showpiece,999,1350,"Wooden Peacock Decorative Showpiece made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Wooden Peacock Decorative Showpiece.png
Yellow Bird Garland Set of,349,500,"Yellow Bird Garland Set of made with Handcrafted Material, suitable for hanging decor, home decor, festive gifting, and spiritual collections.",Hanging Decor,15,Handcrafted Material,Standard,false,false,Yellow Bird Garland Set of 2.png
Yellow Buddha Framed Wall Art,1499,2050,"Yellow Buddha Framed Wall Art made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,false,Yellow Buddha Framed Wall Art.png
